sentence,title
海棠未雨，梨花先雪，一半春休。,王雱《眼儿媚·杨柳丝丝弄轻柔》
无情不似多情苦。一寸还成千万缕。,晏殊《玉楼春·春恨》
只解沙场为国死，何须马革裹尸还。,徐锡麟《出塞》
水光潋滟晴方好，山色空蒙雨亦奇。,苏轼《饮湖上初晴后雨二首·其二》
质胜文则野，文胜质则史，文质彬彬，然后君子。,《论语·雍也篇》
三更灯火五更鸡，正是男儿读书时。,颜真卿《劝学诗》
沧海月明珠有泪，蓝田日暖玉生烟。,李商隐《锦瑟》
何须浅碧深红色，自是花中第一流。,李清照《鹧鸪天·桂花》
我也不登天子船，我也不上长安眠。,唐寅《把酒对月歌》
君问归期未有期，巴山夜雨涨秋池。,李商隐《夜雨寄北》
海内存知己，天涯若比邻。,王勃《送杜少府之任蜀州 / 送杜少府之任蜀川》
以色事他人，能得几时好。,李白《妾薄命》
天地有万古，此身不再得；人生只百年，此日最易过。,《菜根谭·概论》
此生谁料，心在天山，身老沧洲。,陆游《诉衷情·当年万里觅封侯》
风乍起，吹皱一池春水。,冯延巳《谒金门·风乍起》
葡萄美酒夜光杯，欲饮琵琶马上催。,王翰《凉州词二首·其一》
羌笛何须怨杨柳，春风不度玉门关。,王之涣《凉州词二首·其一》
冰雪林中著此身，不同桃李混芳尘；,王冕《白梅》
千山鸟飞绝，万径人踪灭。,柳宗元《江雪》
慎终如始，则无败事。,《老子·德经·第六十四章》
劝君莫惜花前醉，今年花谢，明年花谢，白了人头。,赵秉文《青杏儿·风雨替花愁》
莫道不销魂，帘卷西风，人比黄花瘦。,李清照《醉花阴·薄雾浓云愁永昼》
故人西辞黄鹤楼，烟花三月下扬州。,李白《黄鹤楼送孟浩然之广陵》
一别都门三改火，天涯踏尽红尘。,苏轼《临江仙·送钱穆父》
自古逢秋悲寂寥，我言秋日胜春朝。,刘禹锡《秋词》
人到情多情转薄，而今真个不多情。,纳兰性德《山花子·风絮飘残已化萍》
会当凌绝顶，一览众山小。,杜甫《望岳》
明月出天山，苍茫云海间。,李白《关山月》
人似秋鸿来有信，事如春梦了无痕。,苏轼《正月二十日与潘郭二生出郊寻春忽记去年是日同至女王城作诗乃和前韵》
兰陵美酒郁金香，玉碗盛来琥珀光。,李白《客中行 / 客中作》
春潮带雨晚来急，野渡无人舟自横。,韦应物《滁州西涧》
墙外行人，墙里佳人笑。,苏轼《蝶恋花·春景》
谁家玉笛暗飞声，散入春风满洛城。,李白《春夜洛城闻笛 / 春夜洛阳城闻笛》
人生自古谁无死？留取丹心照汗青。,文天祥《过零丁洋》
满堂花醉三千客，一剑霜寒十四州。,贯休《献钱尚父》
缺月挂疏桐，漏断人初静。,苏轼《卜算子·黄州定慧院寓居作》
明月几时有？把酒问青天。,苏轼《水调歌头·丙辰中秋》
接天莲叶无穷碧，映日荷花别样红。,杨万里《晓出净慈寺送林子方》
松树千年终是朽，槿花一日自为荣。,白居易《放言五首·其五》
不患无位，患所以立。不患莫己知，求为可知也。,《论语·里仁篇》
明月松间照，清泉石上流。,王维《山居秋暝》
水晶帘动微风起，满架蔷薇一院香。,高骈《山亭夏日》
水至清则无鱼，人至察则无徒。,《汉书·传·东方朔传》
借问江潮与海水，何似君情与妾心？,白居易《浪淘沙·借问江潮与海水》
君知妾有夫，赠妾双明珠。,张籍《节妇吟·寄东平李司空师道》
商女不知亡国恨，隔江犹唱后庭花。,杜牧《泊秦淮》
相思了无益，悔当初相见。,朱彝尊《忆少年·飞花时节》
今夜月明人尽望，不知秋思落谁家。,王建《十五夜望月寄杜郎中》
连雨不知春去，一晴方觉夏深。,范成大《喜晴》
若待上林花似锦，出门俱是看花人。,杨巨源《城东早春》
一蓑烟雨任平生。,苏轼《定风波·莫听穿林打叶声》
千人之诺诺，不如一士之谔谔。,《史记·商君列传》
花褪残红青杏小。燕子飞时，绿水人家绕。,苏轼《蝶恋花·春景》
知人者智，自知者明。胜人者有力，自胜者强。,《老子·道经·第三十三章》
十步杀一人，千里不留行。,李白《侠客行》
古人学问无遗力，少壮工夫老始成。,陆游《冬夜读书示子聿》
垂死病中惊坐起，暗风吹雨入寒窗。,元稹《闻乐天授江州司马》
见贤思齐焉，见不贤而内自省也。,《论语·里仁篇》
想当年，金戈铁马，气吞万里如虎。,辛弃疾《永遇乐·京口北固亭怀古》
